date,beta
2018-04-11,-0.0004735764734576637
2018-04-12,-0.0009419752284192795
2018-04-13,-0.000938232851641391
2018-04-16,-0.0009708287724986705
2018-04-17,-0.0009536348738765897
2018-04-19,-0.0009511034041236671
2018-04-20,-0.0009820990858062035
2018-04-23,-0.0010030792748159276
2018-04-24,-0.0010255789030951343
2018-04-25,-0.0010347332537128694
2018-04-26,-0.0010405676596070652
2018-04-27,-0.0010261731869721472
2018-04-30,-0.0010265049102724279
2018-05-01,-0.001029603915345614
2018-05-02,-0.001036396310526106
2018-05-03,-0.0009592267706653137
2018-05-04,-0.0009643949105796796
2018-05-07,-0.0009701247879782809
2018-05-08,-0.000842423052295574
2018-05-09,-0.0008393268665958778
2018-05-10,-0.0008104031537843595
2018-05-11,-0.0007977365196053501
2018-05-14,-0.0006798154094986096
2018-05-15,-0.0006706985428824963
2018-05-16,-0.0006887478867280247
2018-05-17,-0.0006832439977530726
2018-05-18,-0.000685420846303859
2018-05-21,-0.0006921643170341594
2018-05-22,-0.0006837900547800792
2018-05-23,-0.0006884338066953583
2018-05-24,-0.0006839106768150372
2018-05-25,-0.0006780697442098053
2018-05-29,-0.0006843332751172008
2018-05-30,-0.0007091513608715709
2018-05-31,-0.0007070960470600989
2018-06-01,-0.0007564671304744616
2018-06-04,-0.0007388301269199961
2018-06-05,-0.0007506386377142872
2018-06-06,-0.0007482056821800655
2018-06-07,-0.0007364601122951854
2018-06-08,-0.0007371874450009374
2018-06-11,-0.0005667447119312961
2018-06-12,-0.0005641107442781426
2018-06-14,-0.0005755945775578136
2018-06-18,-0.0005729154025097003
2018-06-19,-0.0005727120460725735
2018-06-20,-0.000577074855033779
2018-06-21,-0.0005744255901946158
2018-06-22,-0.0005868659619990797
2018-06-25,-0.000592894441733659
2018-06-26,-0.0006029674750595228
2018-06-27,-0.0006022730027580112
2018-06-28,-0.0006109226052081738
2018-06-29,-0.0006113922411626854
2018-07-02,-0.0006257172931151962
2018-07-03,-0.0006323055836914373
2018-07-05,-0.0006536159788682849
2018-07-06,-0.0006416578908454639
2018-07-09,-0.0006512225467308513
2018-07-10,-0.0006524852131023233
2018-07-11,-0.0006477129420592618
2018-07-12,-0.0006562406232322878
2018-07-13,-0.0006495474485625873
2018-07-16,-0.0006353544721180035
2018-07-17,-0.0006348006418231463
2018-07-18,-0.0006314272660734073
2018-07-19,-0.0006543557019776448
2018-07-20,-0.0006665301259016995
2018-07-23,-0.0006725764216188089
2018-07-24,-0.0006890093565351138
2018-07-25,-0.0007911665832534072
2018-07-26,-0.0008086495431887939
2018-07-27,-0.000681013718489435
2018-07-30,-0.0006745422874212379
2018-07-31,-0.0007054447523604863
2018-08-01,-0.0005033300013364855
2018-08-02,-0.0005198191358352581
2018-08-03,-0.0006278849391926616
2018-08-06,-0.0006242005001609507
2018-08-07,-0.000691410961350884
2018-08-08,-0.0006514325728389393
2018-08-09,-0.0005861611294605793
2018-08-10,-0.0005904118776615897
2018-08-13,-0.00041576022401522704
2018-08-14,-0.00030389210644418576
2018-08-15,-0.00017472867257796974
2018-08-16,-0.0002787002264394731
2018-08-17,-0.0002759519273413481
2018-08-20,0.0003350065298429769
2018-08-21,0.00025683085128469236
2018-08-22,5.7662792614303934e-05
2018-08-23,7.799666803890787e-06
2018-08-24,-3.946537225104438e-05
2018-08-27,-2.770894291546241e-05
2018-08-28,1.2317271200475513e-05
2018-08-29,3.590574509908554e-05
2018-08-30,4.629621064461909e-05
2018-08-31,6.185820860460041e-05
2018-09-04,1.8879072156952603e-05
2018-09-05,1.7202673989052126e-05
2018-09-06,5.7397070977492675e-05
2018-09-10,0.00010282674192568668
2018-09-11,8.888713532034329e-05
2018-09-12,5.685148362281382e-05
2018-09-13,4.915228996383468e-05
2018-09-14,6.230230268734879e-05
2018-09-17,4.747199135095788e-05
2018-09-18,-5.546281568516377e-06
2018-09-19,2.6583374015584704e-05
2018-09-21,3.275276636485397e-05
2018-09-24,2.74491850115837e-05
2018-09-25,-0.0005318003564973794
2018-09-27,-0.0005399597753308239
2018-09-28,-0.0005333462364924803
2018-10-01,-0.0004357856531806445
2018-10-02,-0.0003523910507702622
2018-10-03,-0.000452035282423691
2018-10-04,-0.0002949636737642811
2018-10-05,-0.0003049976298172742
2018-10-09,-0.00036209980733618353
2018-10-10,-0.00013639712026043357
2018-10-11,-0.00025474696709108926
2018-10-12,-0.0003293759763722489
2018-10-15,-0.0003134655217156324
2018-10-16,-0.0002680223255062162
2018-10-17,-0.00020728387765736088
2018-10-18,-0.0002525220646118727
2018-10-19,-0.00027402241037323085
2018-10-22,-0.00028844379803665693
2018-10-23,-0.0002915769188893051
2018-10-24,-0.0003231716635815341
2018-10-25,-0.0003934151151933008
2018-10-26,-0.0003366345999876284
2018-10-29,-0.00033673106204163496
2018-10-30,-0.00034959222604072403
2018-10-31,-0.00028693645652022804
2018-11-01,-0.0002662887899492559
2018-11-02,-0.0002657882047764575
2018-11-05,-0.00028172627978122737
2018-11-06,-0.0002535944856413906
2018-11-07,-0.00024286016306676977
2018-11-08,-0.0008000715279461422
2018-11-09,-0.0007263179557027523
2018-11-13,-0.0007742859476328608
2018-11-14,-0.0007819948452104495
2018-11-15,-0.0007659537355570318
2018-11-16,-0.0007590130656942941
2018-11-19,-0.0007726879968160033
2018-11-20,-0.0008535670143846877
2018-11-21,-0.0003297057897121582
2018-11-23,-0.0003055481925862407
2018-11-26,-0.00033121065248548125
2018-11-27,-0.00029175090913113546
2018-11-28,-0.000277325184735097
2018-11-29,-0.0003011476525465373
2018-11-30,-0.00030037841342520105
2018-12-03,-0.00029212383868826644
2018-12-04,-0.00025914612409932937
2018-12-06,-0.00033398772559457135
2018-12-07,-0.00031341238970686373
2018-12-10,-0.0004019012475322456
2018-12-12,-0.00038222017819350326
2018-12-13,-0.000396273913525532
2018-12-14,-0.0004039117946272635
2018-12-17,-0.00045513457118285313
2018-12-18,-0.0005291537239211515
2018-12-19,-0.0005269809687881619
2018-12-20,-0.0005708854372329535
2018-12-21,-0.0006093446162836723
2018-12-26,-0.0006582462698295628
2018-12-27,-0.0007568762769608072
2018-12-28,-0.0007297130489346379
2018-12-31,-0.0007243051534731309
2019-01-14,-0.0007046433500175785
2019-01-31,-0.0006933489883138188
2019-02-01,-0.0006979550428465925
2019-02-04,-0.0006803051824483082
2019-02-05,-0.0007463563212409385
2019-02-06,-0.0007068305459109232
2019-02-07,-0.0006831393689241974
2019-02-08,-0.0006400525016493001
2019-02-11,-0.0006487311344320764
2019-02-12,-0.0006345926000037569
2019-02-13,-0.0005704524387279727
2019-02-14,-0.0005621293912046331
2019-02-15,-0.0005855843812114163
2019-02-19,-0.0007812810325767342
2019-02-20,-0.0007646854499598398
2019-02-21,-0.0007775429234099924
2019-02-22,-0.0007882043367904588
2019-02-25,-0.0008611102448580325
2019-02-26,-0.0008707452742507432
2019-02-27,-0.0008765285105123057
2019-02-28,-0.0008687766908469122
2019-03-01,-0.0008648808101965099
2019-03-04,-0.0008443386893460794
2019-03-05,-0.00082745155569359
2019-03-06,-0.0008495182836866426
2019-03-07,-0.0008618644347206988
2019-03-08,-0.0006979571145107605
2019-03-11,-0.0006911694165409766
2019-03-12,-0.0006554363768678691
2019-03-13,-0.0006441215779456628
2019-03-14,-0.0005810288054230985
2019-03-15,-0.0005923578991571713
2019-03-18,-0.0005838091268407937
2019-03-19,-0.0005775868369389375
2019-03-20,-0.0005766361771684431
2019-03-21,-0.0005812535450588575
